,lam1,lam2,lam3,lam4,lam5,lam6,lam7,lam8,lam11,lam12,lam13,lam14,lam15,lam16,lam17,lam18,lam22,lam23,lam24,lam25,lam26,lam27,lam28,lam33,lam34,lam35,lam36,lam37,lam38,lam44,lam45,lam46,lam47,lam48,lam55,lam56,lam57,lam58,lam66,lam67,lam68,lam77,lam78,lam88
-2,10.192902122834084,0.4181656530904547,-5.59407712451457,-1.3128493825165606,11.595939387735598,6.863679155514092,-4.700681223545871,-6.0854333185832274,8.875057752479734,-3.1478730525167293,9.217773690002105,31.90222242558457,189.5679505482026,136.14900370213672,6.442257590954341,54.85483808396657,-2.397620256662208,0.9917089734381079,-0.9862682217069505,7.875250764193879,4.38471619790198,0.8370102350066304,1.6093576518605914,-0.23500337649511494,4.1990967014749,10.189753827286495,6.092423842969197,0.23006937662785276,1.1852754278644397,15.568556499040824,69.93244504667746,49.533142376581736,5.2611922927235355,23.858095024174645,11.658667543093202,-3.207225226633909,1.5843070463535014,88.54334084550305,-4.765079942505963,5.381710298731747,48.7824726518769,27.285282533778854,-24.015267146146698,20.98081558282948
-1,0.05233706501741457,0.0030031193888971357,-0.00011971593666887513,-0.00020976946960035722,0.06169115998031315,0.05050700199681131,-5.456833060539352e-05,-0.00110238100370295,0.00023398833590818665,-0.00011607881339967273,1.7488576372165553e-06,2.6173380871263285e-05,0.00622645870493502,0.0057454612925224415,4.963639024868724e-07,6.604643867275431e-05,-0.0001236598964339476,2.0913077252241966e-07,-1.1317399733728192e-06,0.00033590282038468164,0.00025280255109376594,8.480744713198782e-08,2.5162865610538702e-06,-1.0762697614619935e-10,5.182787130685129e-08,1.2926423472111739e-06,1.0078292310272132e-06,1.8643016061964003e-10,6.644726632035152e-09,3.9746885049512277e-07,7.769356496232392e-05,6.99029269971578e-05,1.9930070841756107e-08,1.3004078874310034e-06,0.0003299764285413033,-0.00012555704189108865,1.8639664828990223e-07,8.533223427136524e-05,-0.0002580235959989444,6.067397105318429e-07,6.502773673963203e-05,3.676953939490855e-09,-1.2223273301014607e-07,6.884981729733138e-07
8,0.0007026126349936388,0.00010288716568641632,3.0739302780971693e-07,7.026126349936387e-06,0.0031931629956436485,0.0028556417156791847,3.99145374455456e-08,3.1931629956436485e-05,-1.723218180404761e-06,-1.1356060151770796e-07,-1.507815907854166e-09,-3.4464363608095226e-08,7.445455595806996e-06,5.678030075885397e-06,9.306819494758745e-11,7.445455595806997e-08,3.6928679894122913e-09,-4.968276316399723e-11,-1.1356060151770796e-09,-4.5928468883265374e-08,-1.8464339947061456e-07,-5.741058610408171e-13,-4.5928468883265376e-10,-3.2983472984309873e-13,-1.5078159078541657e-11,3.257386823165561e-09,2.4841381581998616e-09,4.071733528956951e-14,3.257386823165561e-11,-1.723218180404761e-10,7.445455595806997e-08,5.678030075885398e-08,9.306819494758744e-13,7.445455595806996e-10,-6.407830890639978e-06,2.2964234441632682e-06,-1.6019577226599946e-10,-1.281566178127996e-07,9.232169973530726e-06,2.8705293052040854e-11,2.2964234441632687e-08,-1.0012235766624966e-15,-1.6019577226599946e-12,-6.407830890639978e-10
9,0.00070237729163314,0.00010289481831088044,3.072900650894987e-07,7.023772916331399e-06,0.003193067802063643,0.002855259084455979,3.991334752579553e-08,3.193067802063643e-05,-1.7224857465110344e-06,-1.1356490357966026e-07,-1.5071750281971553e-09,-3.444971493022069e-08,7.445843625461892e-06,5.6782451789830125e-06,9.307304531827365e-11,7.445843625461892e-08,3.692537727369552e-09,-4.968464531610136e-11,-1.1356490357966025e-09,-4.5941086384903876e-08,-1.846268863684776e-07,-5.742635798112984e-13,-4.5941086384903876e-10,-3.296945374181276e-13,-1.5071750281971552e-11,3.2575565861395774e-09,2.484232265805068e-09,4.0719457326744715e-14,3.257556586139577e-11,-1.7224857465110345e-10,7.445843625461891e-08,5.6782451789830126e-08,9.307304531827364e-13,7.445843625461891e-10,-6.407257822952334e-06,2.2970543192451936e-06,-1.6018144557380835e-10,-1.281451564590467e-07,9.231344318423879e-06,2.8713178990564916e-11,2.2970543192451935e-08,-1.0011340348363021e-15,-1.6018144557380834e-12,-6.407257822952334e-10
10,0.001079413470620097,8.912703096999388e-05,4.7224339339629233e-07,1.0794134706200967e-05,0.003310691108410838,0.0035436484515003067,4.138363885513548e-08,3.310691108410838e-05,-3.0098061404497743e-06,-9.933638900162831e-08,-2.6335803728935523e-09,-6.019612280899549e-08,6.730338333231353e-06,4.966819450081415e-06,8.41292291653919e-11,6.730338333231353e-08,4.115821268298125e-09,-4.345967018821238e-11,-9.93363890016283e-10,-1.9688590557957335e-08,-2.0579106341490623e-07,-2.461073819744667e-13,-1.9688590557957336e-10,-5.760957065704645e-13,-2.6335803728935522e-11,2.9445230207887166e-09,2.1729835094106187e-09,3.6806537759858953e-14,2.9445230207887166e-11,-3.009806140449774e-10,6.730338333231353e-08,4.966819450081415e-08,8.41292291653919e-13,6.730338333231352e-10,-7.1417355667650065e-06,9.844295278978667e-07,-1.7854338916912516e-10,-1.4283471133530014e-07,1.028955317074531e-05,1.2305369098723334e-11,9.844295278978666e-09,-1.1158961823070321e-15,-1.7854338916912515e-12,-7.141735566765007e-10
11,0.001079207596572701,8.913556029207826e-05,4.721533235005566e-07,1.0792075965727008e-05,0.0033106502879228844,0.0035432219853960873,4.138312859903605e-08,3.3106502879228843e-05,-3.0090502171526885e-06,-9.934882944516584e-08,-2.632918940008602e-09,-6.018100434305377e-08,6.7307707093999405e-06,4.967441472258292e-06,8.413463386749925e-11,6.730770709399941e-08,4.115669027190031e-09,-4.346511288226006e-11,-9.934882944516585e-10,-1.9706503819264067e-08,-2.0578345135950154e-07,-2.463312977408008e-13,-1.9706503819264066e-10,-5.759510181268817e-13,-2.6329189400086022e-11,2.944712185362474e-09,2.1732556441130026e-09,3.6808902317030916e-14,2.9447121853624735e-11,-3.0090502171526885e-10,6.73077070939994e-08,4.9674414722582914e-08,8.413463386749924e-13,6.73077070939994e-10,-7.141471399381265e-06,9.853251909632031e-07,-1.785367849845316e-10,-1.4282942798762528e-07,1.0289172567975074e-05,1.231656488704004e-11,9.853251909632032e-09,-1.1158549061533226e-15,-1.785367849845316e-12,-7.141471399381264e-10
12,0.0007019087243012791,0.00010383565178284247,3.070850668818096e-07,7.019087243012791e-06,0.00314824877649502,0.002808217410857877,3.9353109706187746e-08,3.14824877649502e-05,-1.7135864720683253e-06,-1.1441548183140909e-07,-1.4993881630597845e-09,-3.42717294413665e-08,7.478695941212209e-06,5.720774091570454e-06,9.348369926515261e-11,7.47869594121221e-08,3.648845671668483e-09,-5.0056773301241477e-11,-1.144154818314091e-09,-4.695094673871653e-08,-1.8244228358342413e-07,-5.868868342339565e-13,-4.695094673871653e-10,-3.2799116066932785e-13,-1.4993881630597843e-11,3.2719294742803414e-09,2.5028386650620735e-09,4.089911842850426e-14,3.271929474280341e-11,-1.7135864720683252e-10,7.478695941212208e-08,5.720774091570454e-08,9.34836992651526e-13,7.478695941212208e-10,-6.201351738652559e-06,2.3475473369358263e-06,-1.5503379346631396e-10,-1.2402703477305118e-07,9.122114179171206e-06,2.934434171169783e-11,2.347547336935826e-08,-9.689612091644622e-16,-1.5503379346631397e-12,-6.201351738652559e-10
13,0.000701631198648078,0.0001038445017526647,3.069636494085341e-07,7.016311986480779e-06,0.003148134877701956,0.0028077749123667653,3.935168597127445e-08,3.1481348777019566e-05,-1.7127251443865633e-06,-1.1441994789406443e-07,-1.4986345013382426e-09,-3.4254502887731264e-08,7.4791360341629464e-06,5.720997394703221e-06,9.348920042703682e-11,7.479136034162946e-08,3.6484496571422857e-09,-5.005872720365318e-11,-1.144199478940644e-09,-4.696498079034735e-08,-1.8242248285711427e-07,-5.870622598793418e-13,-4.696498079034735e-10,-3.2782629716774056e-13,-1.4986345013382427e-11,3.2721220149462887e-09,2.502936360182659e-09,4.09015251868286e-14,3.272122014946289e-11,-1.7127251443865632e-10,7.479136034162945e-08,5.72099739470322e-08,9.348920042703682e-13,7.479136034162946e-10,-6.200678696931549e-06,2.3482490395173677e-06,-1.550169674232887e-10,-1.2401357393863099e-07,9.121124142855712e-06,2.9353112993967095e-11,2.3482490395173675e-08,-9.688560463955544e-16,-1.550169674232887e-12,-6.200678696931548e-10
14,0.001081249749644952,9.027357369958366e-05,4.7304676546966646e-07,1.081249749644952e-05,0.003270728204666893,0.003486321315020818,4.088410255833616e-08,3.270728204666893e-05,-3.008986745778023e-06,-1.0110731697305464e-07,-2.63286340255577e-09,-6.017973491556046e-08,6.7798958695907346e-06,5.055365848652732e-06,8.474869836988418e-11,6.779895869590734e-08,4.091492256674549e-09,-4.42344511757114e-11,-1.0110731697305463e-09,-2.1841863476135038e-08,-2.0457461283372745e-07,-2.7302329345168796e-13,-2.1841863476135038e-10,-5.759388693090747e-13,-2.6328634025557698e-11,2.9662044429459457e-09,2.21172255878557e-09,3.707755553682432e-14,2.966204442945946e-11,-3.0089867457780227e-10,6.779895869590733e-08,5.0553658486527315e-08,8.474869836988417e-13,6.779895869590733e-10,-6.953646413883588e-06,1.0920931738067519e-06,-1.7384116034708968e-10,-1.3907292827767174e-07,1.022873064168637e-05,1.3651164672584397e-11,1.0920931738067517e-08,-1.0865072521693104e-15,-1.7384116034708967e-12,-6.953646413883587e-10
15,0.0010810044919995754,9.028349756897852e-05,4.729394652498142e-07,1.0810044919995754e-05,0.0032706752014512357,0.0034858251215510744,4.0883440018140446e-08,3.2706752014512356e-05,-3.008083140676737e-06,-1.011213346877606e-07,-2.6320727480921448e-09,-6.016166281353474e-08,6.780399781251926e-06,5.05606673438803e-06,8.475499726564907e-11,6.780399781251926e-08,4.091293348004766e-09,-4.4240583925895256e-11,-1.0112133468776059e-09,-2.1862253272801256e-08,-2.045646674002383e-07,-2.732781659100157e-13,-2.1862253272801257e-10,-5.757659136451566e-13,-2.6320727480921444e-11,2.9664249042977175e-09,2.2120291962947627e-09,3.708031130372146e-14,2.966424904297717e-11,-3.008083140676737e-10,6.780399781251926e-08,5.056066734388029e-08,8.475499726564906e-13,6.780399781251925e-10,-6.953308361048203e-06,1.0931126636400628e-06,-1.7383270902620505e-10,-1.3906616722096404e-07,1.0228233370011913e-05,1.3663908295500784e-11,1.0931126636400628e-08,-1.0864544314137816e-15,-1.7383270902620506e-12,-6.953308361048203e-10
16,0.0008412482694223599,0.00010107527835728246,3.6804611787228243e-07,8.412482694223598e-06,0.003120683605110368,0.002946236082135877,3.90085450638796e-08,3.120683605110368e-05,-4.059191160722429e-06,-2.1426104535855282e-07,-3.551792265632125e-09,-8.118382321444857e-08,1.3828329542361378e-05,1.071305226792764e-05,1.728541192795172e-10,1.3828329542361378e-07,7.111189867010637e-09,-9.373920734436685e-11,-2.142610453585528e-09,-7.852769454938875e-08,-3.555594933505318e-07,-9.815961818673593e-13,-7.852769454938875e-10,-7.769545581070272e-13,-3.551792265632124e-11,6.049894174783103e-09,4.6869603672183425e-09,7.562367718478878e-14,6.049894174783103e-11,-4.059191160722428e-10,1.3828329542361376e-07,1.071305226792764e-07,1.728541192795172e-12,1.3828329542361377e-09,-1.162784589474772e-05,3.926384727469437e-06,-2.90696147368693e-10,-2.325569178949544e-07,1.7777974667526588e-05,4.907980909336796e-11,3.9263847274694374e-08,-1.816850921054331e-15,-2.90696147368693e-12,-1.162784589474772e-09
17,0.0008287981743887969,0.00010148703387506164,3.625992012950986e-07,8.287981743887969e-06,0.0031160888567207793,0.002925648306246918,3.895111070900974e-08,3.1160888567207796e-05,-3.980926690502677e-06,-2.1482506350944387e-07,-3.483310854189842e-09,-7.961853381005353e-08,1.3867595766602528e-05,1.0741253175472194e-05,1.733449470825316e-10,1.3867595766602528e-07,7.079825542965854e-09,-9.398596528538169e-11,-2.1482506350944383e-09,-7.98263339174057e-08,-3.539912771482927e-07,-9.97829173967571e-13,-7.982633391740569e-10,-7.619742493540279e-13,-3.483310854189842e-11,6.067073147888606e-09,4.699298264269084e-09,7.583841434860756e-14,6.067073147888605e-11,-3.980926690502677e-10,1.3867595766602526e-07,1.0741253175472191e-07,1.7334494708253155e-12,1.3867595766602526e-09,-1.1576560591808823e-05,3.991316695870284e-06,-2.8941401479522057e-10,-2.3153121183617648e-07,1.769956385741463e-05,4.989145869837855e-11,3.991316695870285e-08,-1.8088375924701287e-15,-2.894140147952206e-12,-1.1576560591808823e-09
18,0.0012096782385246944,8.727961905618093e-05,5.292342293545537e-07,1.2096782385246942e-05,0.0032215360096965696,0.003636019047190955,4.026920012120712e-08,3.2215360096965696e-05,-6.574909947270382e-06,-1.8297980095062204e-07,-5.7530462038615845e-09,-1.3149819894540765e-07,1.250880342522496e-05,9.148990047531102e-06,1.56360042815312e-10,1.250880342522496e-07,7.823156654205076e-09,-8.005366291589713e-11,-1.82979800950622e-09,-2.8905779329043445e-08,-3.9115783271025384e-07,-3.61322241613043e-13,-2.8905779329043443e-10,-1.2584788570947215e-12,-5.753046203861584e-11,5.47260149853592e-09,4.002683145794856e-09,6.8407518731699e-14,5.47260149853592e-11,-6.574909947270382e-10,1.250880342522496e-07,9.148990047531099e-08,1.56360042815312e-12,1.250880342522496e-09,-1.2792016763265921e-05,1.4452889664521722e-06,-3.1980041908164804e-10,-2.5584033526531845e-07,1.955789163551269e-05,1.806611208065215e-11,1.445288966452172e-08,-1.9987526192603e-15,-3.19800419081648e-12,-1.2792016763265922e-09
19,0.0011990200200094098,8.773323644062501e-05,5.245712587541168e-07,1.1990200200094098e-05,0.0032198072543196455,0.0036133381779687498,4.0247590678995566e-08,3.219807254319646e-05,-6.497739511820718e-06,-1.843501681222147e-07,-5.685522072843127e-09,-1.2995479023641434e-07,1.2550350648828861e-05,9.217508406110734e-06,1.5687938311036075e-10,1.255035064882886e-07,7.810569117169935e-09,-8.065319855346892e-11,-1.8435016812221469e-09,-3.0674047599194554e-08,-3.905284558584967e-07,-3.834255949899319e-13,-3.0674047599194554e-10,-1.243707953434434e-12,-5.685522072843127e-11,5.4907784088626255e-09,4.032659927673446e-09,6.863473011078282e-14,5.490778408862626e-11,-6.497739511820717e-10,1.255035064882886e-07,9.217508406110734e-08,1.5687938311036072e-12,1.255035064882886e-09,-1.2771434280787416e-05,1.5337023799597276e-06,-3.1928585701968537e-10,-2.554286856157483e-07,1.952642279292483e-05,1.9171279749496593e-11,1.5337023799597273e-08,-1.9955366063730336e-15,-3.192858570196854e-12,-1.2771434280787415e-09
